2026-06-23 01:36:53.007 | INFO     | server:api_ask:38 - API request: 'how does fever happens' web_search=False
2026-06-23 01:36:55.462 | INFO     | rag_pipeline.graph:ask:214 - === New query: 'how does fever happens' (web_search=off) ===
2026-06-23 01:37:30.194 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:123 - Hybrid retrieve for query: 'how does fever happens' (top_k=18)
2026-06-23 01:38:04.291 | DEBUG    | retrieval.hyde:hyde_embed:52 - HyDE passage for 'how does fever happens': Fever occurs as a result of the body's immune response to infection or inflammation, mediated primarily by pyrogens. The...
2026-06-23 01:38:04.306 | INFO     | config:get_embedder:190 - Loading embedding model: all-MiniLM-L6-v2
2026-06-23 01:40:40.249 | INFO     | retrieval.hybrid_retrieval:_build:74 - Building in-memory BM25 index over 2202 chunks...
2026-06-23 01:40:41.937 | SUCCESS  | retrieval.hybrid_retrieval:_build:92 - BM25 index ready (2202 docs).
2026-06-23 01:40:41.953 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:171 - Hybrid retrieve returned 18 docs (dense_hits=18, sparse_hits=18, union=34). HyDE passage used: 'Fever occurs as a result of the body's immune response to infection or inflammat...'
2026-06-23 01:40:41.953 | INFO     | retrieval.reranker:get_reranker:37 - Loading cross-encoder reranker: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-06-23 01:40:50.471 | DEBUG    | retrieval.reranker:rerank:70 - Re-ranking changed top-3 order.
  Before (RRF order):     ['hiv.pdf p.147', 'hiv.pdf p.45', 'hiv.pdf p.49']
  After (cross-encoder):  ['hiv.pdf p.147', 'hiv.pdf p.45', 'hiv.pdf p.100']
2026-06-23 01:40:50.471 | INFO     | rag_pipeline.graph:retrieve_node:68 - Retrieved + reranked 3 candidate docs for: 'how does fever happens'
2026-06-23 01:41:14.010 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hiv.pdf p.45]: irrelevant — The passage discusses TB symptom screening and does not explain the physiological mechanism of fever.
2026-06-23 01:41:18.711 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hiv.pdf p.147]: irrelevant — The passage discusses vitamin D effects on fever resolution in TB, not the mechanism of fever occurrence.
2026-06-23 01:41:30.030 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hiv.pdf p.100]: irrelevant — Passage does not discuss fever or its mechanisms.
2026-06-23 01:41:30.030 | INFO     | rag_pipeline.self_rag:self_rag_pipeline:201 - Relevance filtering: 0/3 chunks kept for query 'how does fever happens'
2026-06-23 01:41:30.030 | INFO     | rag_pipeline.graph:route_after_self_rag:154 - Insufficient context (retry 1/2) — triggering Corrective RAG.
2026-06-23 01:41:55.771 | INFO     | rag_pipeline.self_rag:rewrite_query:131 - Corrective RAG rewrote query: 'how does fever happens' -> 'pathophysiology of fever'
2026-06-23 01:41:55.771 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:123 - Hybrid retrieve for query: 'pathophysiology of fever' (top_k=18)
2026-06-23 01:42:30.259 | DEBUG    | retrieval.hyde:hyde_embed:52 - HyDE passage for 'pathophysiology of fever': Feverresults from a reset of the hypothalamic thermoregulatory set point in response to pyrogenic stimuli. Endogenous cy...
2026-06-23 01:42:30.580 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:171 - Hybrid retrieve returned 18 docs (dense_hits=18, sparse_hits=18, union=35). HyDE passage used: 'Feverresults from a reset of the hypothalamic thermoregulatory set point in resp...'
2026-06-23 01:42:32.191 | DEBUG    | retrieval.reranker:rerank:70 - Re-ranking changed top-3 order.
  Before (RRF order):     ['hypertension.pdf p.51', 'hypertension.pdf p.48', 'hypertension.pdf p.47']
  After (cross-encoder):  ['hypertension.pdf p.49', 'hypertension.pdf p.48', 'tb.pdf p.30']
2026-06-23 01:42:32.191 | INFO     | rag_pipeline.graph:retrieve_node:68 - Retrieved + reranked 3 candidate docs for: 'pathophysiology of fever'
2026-06-23 01:43:00.314 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.48]: irrelevant — The passage discusses hypertension, not the mechanisms of fever.
2026-06-23 01:43:00.320 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [tb.pdf p.30]: irrelevant — The passage discusses fever as a TB symptom but does not explain how fever occurs.
2026-06-23 01:43:13.716 | WARNING  | rag_pipeline.self_rag:_parse_json_response:104 - Failed to parse expected JSON from LLM, using fallback. Raw: 'User Safety: safe'
2026-06-23 01:43:13.716 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.49]: irrelevant — unparseable LLM response
2026-06-23 01:43:13.716 | INFO     | rag_pipeline.self_rag:self_rag_pipeline:201 - Relevance filtering: 0/3 chunks kept for query 'how does fever happens'
2026-06-23 01:43:13.716 | INFO     | rag_pipeline.graph:route_after_self_rag:154 - Insufficient context (retry 2/2) — triggering Corrective RAG.
2026-06-23 01:43:45.539 | INFO     | rag_pipeline.self_rag:rewrite_query:131 - Corrective RAG rewrote query: 'pathophysiology of fever' -> 'fever pathogenesis'
2026-06-23 01:43:45.539 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:123 - Hybrid retrieve for query: 'fever pathogenesis' (top_k=18)
2026-06-23 01:46:46.091 | DEBUG    | retrieval.hyde:hyde_embed:52 - HyDE passage for 'fever pathogenesis': Fever is a regulated elevation of the body's core temperature in response to infectious or inflammatory stimuli. Pathoge...
2026-06-23 01:46:46.415 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:171 - Hybrid retrieve returned 18 docs (dense_hits=18, sparse_hits=18, union=33). HyDE passage used: 'Fever is a regulated elevation of the body's core temperature in response to inf...'
2026-06-23 01:46:47.923 | DEBUG    | retrieval.reranker:rerank:70 - Re-ranking changed top-3 order.
  Before (RRF order):     ['hiv.pdf p.147', 'comorbidities.pdf p.41', 'hiv.pdf p.45']
  After (cross-encoder):  ['hypertension.pdf p.33', 'hiv.pdf p.147', 'tb.pdf p.30']
2026-06-23 01:46:47.923 | INFO     | rag_pipeline.graph:retrieve_node:68 - Retrieved + reranked 3 candidate docs for: 'fever pathogenesis'
2026-06-23 01:47:20.930 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hiv.pdf p.147]: irrelevant — The passage discusses vitamin D supplementation's effect on fever resolution in TB patients, not the mechanism of how fever occurs.
2026-06-23 01:47:21.114 | DEBUG    | config:_call:161 - Empty content. Full response object: AIMessage(content='', additional_kwargs={'refusal': None}, response_metadata={'token_usage': {'completion_tokens': 1024, 'prompt_tokens': 286, 'total_tokens': 1310, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 1087, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0, 'upstream_inference_prompt_cost': 0, 'upstream_inference_completions_cost': 0}}, 'model_name': 'liquid/lfm-2.5-1.2b-thinking-20260120:free', 'system_fingerprint': None, 'finish_reason': 'length', 'logprobs': None}, id='run--2c5f44f1-9f25-4aa6-8190-07ef1cc3e7ad-0', usage_metadata={'input_tokens': 286, 'output_tokens': 1024, 'total_tokens': 1310, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 1087}})
2026-06-23 01:47:21.129 | WARNING  | config:<lambda>:144 - LLM call failed (attempt 1/5): ValueError: LLM returned empty/invalid content (got: ''). Treating as a transient failure to trigger retry. -- retrying in 4.0s...
2026-06-23 01:47:46.491 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [tb.pdf p.30]: irrelevant — The passage discusses TB symptoms in diabetic patients but does not explain the mechanism or process of how fever occurs.
2026-06-23 01:48:05.803 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.33]: irrelevant — The passage discusses RAAS and COVID-19 treatment, not the mechanism of fever.
2026-06-23 01:48:05.805 | INFO     | rag_pipeline.self_rag:self_rag_pipeline:201 - Relevance filtering: 0/3 chunks kept for query 'how does fever happens'
2026-06-23 01:48:05.805 | WARNING  | rag_pipeline.graph:route_after_self_rag:162 - Corrective RAG retries exhausted (2). Proceeding with honest non-answer.
2026-06-23 01:48:05.813 | INFO     | rag_pipeline.graph:ask:216 - === Query complete ===
2026-06-23 01:48:07.859 | INFO     | server:api_ask:38 - API request: 'What blood pressure target should be used for most adults?' web_search=False
2026-06-23 01:48:07.859 | INFO     | rag_pipeline.graph:ask:214 - === New query: 'What blood pressure target should be used for most adults?' (web_search=off) ===
2026-06-23 01:48:09.492 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:123 - Hybrid retrieve for query: 'What blood pressure target should be used for most adults?' (top_k=18)
2026-06-23 01:48:42.681 | DEBUG    | retrieval.hyde:hyde_embed:52 - HyDE passage for 'What blood pressure target should be used for most adults?': The American Heart Association recommends maintaining blood pressure at 120/80 mmHg as the standard target for most adul...
2026-06-23 01:48:42.995 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:171 - Hybrid retrieve returned 18 docs (dense_hits=18, sparse_hits=18, union=32). HyDE passage used: 'The American Heart Association recommends maintaining blood pressure at 120/80 m...'
2026-06-23 01:48:44.587 | DEBUG    | retrieval.reranker:rerank:70 - Re-ranking changed top-3 order.
  Before (RRF order):     ['hypertension.pdf p.27', 'hypertension.pdf p.58', 'hypertension.pdf p.10']
  After (cross-encoder):  ['hypertension.pdf p.58', 'hypertension.pdf p.27', 'hypertension.pdf p.12']
2026-06-23 01:48:44.587 | INFO     | rag_pipeline.graph:retrieve_node:68 - Retrieved + reranked 3 candidate docs for: 'What blood pressure target should be used for most adults?'
2026-06-23 01:49:31.827 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.58]: relevant — The passage lists specific systolic and diastolic blood pressure targets for adults, directly addressing the query about recommended targets.
